Day_Number,Bakery,Beverages,Dairy,Fruits & Vegetables,Grains & Pulses,Oils & Fats,Seafood
155,15,7,43,112,13,18,7
156,40,7,44,112,21,18,7
157,38,6,36,88,37,21,6
158,38,6,65,70,34,21,6
159,38,6,77,94,34,43,6
160,38,14,64,31,33,21,6
161,3,15,20,31,36,11,6
163,3,14,20,68,37,11,6
164,3,14,68,44,36,11,6
165,3,14,13,79,36,11,6
166,3,14,13,82,90,11,30
167,3,14,13,139,24,10,30
168,3,26,13,45,24,10,30
169,3,13,13,65,71,18,30
170,3,13,13,72,35,23,30
171,3,13,12,84,35,47,12
172,3,13,83,65,35,18,12
173,3,13,62,89,18,16,11
174,3,12,37,23,22,18,11
175,3,12,36,22,90,35,49
176,3,63,80,77,99,11,26
177,3,18,25,22,31,11,26
178,3,18,85,12,63,11,26
179,3,18,97,12,25,11,26
180,56,16,12,11,24,15,19
181,8,18,12,18,44,15,21
182,8,16,12,51,58,15,21
183,7,3,12,51,58,15,30
184,7,3,80,62,75,14,14
185,7,3,12,98,71,14,14
186,7,3,9,40,52,14,14
187,7,3,8,76,48,23,14
188,7,3,8,66,30,24,10
189,7,3,8,67,9,24,10
190,9,3,8,113,9,23,9
191,10,3,8,26,9,45,60
192,9,2,8,59,9,9,33
193,9,2,8,59,9,9,33
194,9,40,8,32,46,9,44
195,9,9,8,88,78,9,6
196,9,9,63,26,8,9,4
197,9,62,70,33,8,9,4
198,9,33,43,19,7,9,4
199,9,33,49,88,7,8,4
200,9,59,69,75,7,8,58
201,9,42,89,22,7,8,33
202,2,41,49,45,7,39,33
204,2,41,20,71,41,7,33
205,2,2,20,83,11,7,49
206,2,2,20,56,11,7,23
207,2,2,19,48,66,7,23
208,2,2,19,34,91,7,46
210,2,2,91,34,20,6,29
211,2,2,31,33,28,6,29
212,2,2,63,120,26,49,28
213,2,2,35,73,9,10,43
214,2,2,35,26,9,10,36
215,2,2,34,21,9,50,43
216,2,1,57,20,9,11,36
218,2,1,58,24,72,11,4
219,1,1,57,25,19,10,4
220,1,1,82,25,38,10,4
221,1,1,98,58,50,10,4
222,1,1,82,94,34,10,4
223,1,1,22,32,43,14,4
224,1,29,22,32,24,45,4
225,37,7,22,32,43,10,4
226,21,7,21,110,43,8,3
227,21,7,21,85,41,8,3
228,21,7,21,85,43,8,3
229,12,6,13,75,46,7,3
230,34,6,13,98,28,19,3
231,31,6,13,85,26,9,3
232,31,6,11,23,26,9,14
233,50,24,14,34,64,9,14
234,14,25,26,105,38,9,14
235,13,24,26,34,38,9,14
236,13,13,26,32,38,15,14
237,13,15,25,18,88,16,14
238,13,42,25,108,91,16,13
239,3,12,25,49,25,15,44
240,3,12,25,45,17,15,44
241,3,12,25,49,99,25,51
242,3,12,14,59,55,21,51
243,2,11,14,94,55,28,51
244,2,11,37,64,55,12,24
245,2,15,12,64,42,12,24
246,2,16,12,80,29,12,24
247,2,15,16,80,66,12,13
248,2,15,69,108,29,39,13
249,2,15,56,74,14,16,13
250,2,15,56,143,13,40,13
251,2,45,56,24,13,16,12
253,59,10,56,18,13,16,12
254,8,9,56,67,30,16,12
255,8,10,56,24,48,33,14
256,8,10,12,14,50,34,14
257,32,10,33,14,19,33,14
258,32,10,29,43,22,23,14
259,31,10,91,15,22,4,14
260,38,10,50,89,22,4,13
261,38,10,50,26,22,4,13
263,31,11,34,25,21,4,13
264,6,46,76,27,21,4,13
265,6,21,23,87,21,4,13
266,6,11,60,87,42,3,13
267,6,21,47,135,23,3,13
268,6,21,67,87,23,3,11
269,6,21,8,13,23,3,11
271,4,20,8,24,23,3,19
272,4,21,52,23,23,3,2
273,4,11,96,23,102,26,2
274,4,10,12,129,44,47,2
275,4,39,12,35,44,47,2
276,4,35,12,57,95,26,2
277,11,35,66,127,14,8,2
278,11,33,61,20,14,8,2
279,11,7,61,29,92,8,2
280,11,7,61,54,10,8,2
281,11,7,23,49,10,8,2
282,11,7,23,42,9,38,2
283,11,6,31,20,55,14,2
284,11,6,91,47,54,14,2
285,11,52,28,89,53,13,2
286,10,59,28,121,54,13,2
287,58,52,28,19,82,13,2
288,25,56,94,37,38,13,1
289,24,29,11,35,14,20,1
290,38,56,11,35,79,14,1
291,29,36,10,75,14,14,1
292,29,7,49,76,14,50,1
293,29,7,53,99,14,4,1
294,15,7,44,28,14,4,1
295,15,7,89,100,13,4,1
296,62,7,34,100,13,4,1
297,12,7,42,53,13,4,1
298,12,7,52,19,62,3,52
299,30,7,96,77,15,3,15
301,39,7,63,43,15,3,37
302,4,7,13,61,15,28,15
303,4,7,63,90,15,2,14
304,4,19,19,98,15,2,16
305,4,24,18,30,15,2,20
306,4,60,18,137,82,2,16
307,4,45,74,92,88,2,13
308,4,50,55,32,29,2,13
309,4,50,10,32,38,2,13
310,3,61,25,81,41,2,13
311,3,16,25,32,39,2,13
313,3,16,37,16,32,2,36
314,3,16,55,16,31,2,7
315,23,46,37,94,18,2,7
316,36,50,18,19,98,2,7
317,35,45,85,116,20,2,7
318,23,20,26,87,46,2,6
319,53,21,25,143,84,2,61
320,52,20,49,105,50,2,11
321,23,8,43,42,8,2,11
322,3,8,50,63,8,1,11
323,3,8,20,88,8,1,11
324,3,8,20,48,8,15,11
325,3,8,20,80,97,15,11
326,3,8,19,22,8,15,6
327,3,8,19,28,8,15,6
328,3,8,29,49,8,15,6
329,3,8,72,63,8,15,4
330,3,8,29,63,8,15,4
331,3,8,90,81,7,15,4
332,2,8,92,45,60,15,24
333,2,8,22,79,84,9,24
334,2,34,22,28,54,9,24
336,2,14,21,28,9,17,24
337,2,15,96,60,9,29,24
339,41,48,66,65,9,14,23
340,9,15,12,71,47,29,23
341,9,15,74,28,19,14,23
342,8,14,51,89,19,4,23
343,8,14,51,61,91,3,26
345,8,61,56,47,14,3,26
346,8,0,10,41,13,3,26
347,12,0,9,38,21,3,26
348,12,0,9,47,42,3,26
349,13,0,22,92,26,3,26
350,12,0,70,48,12,3,26
351,12,0,93,106,11,3,26
352,12,0,107,26,11,3,26
353,12,0,46,45,11,3,26
354,6,0,86,54,11,3,26
355,6,0,67,50,69,3,25
356,4,0,20,74,12,3,26
357,4,0,72,12,11,3,14
358,4,0,12,12,25,3,14
359,4,0,12,75,19,3,40
360,4,0,12,12,19,41,30
361,0,0,92,43,19,18,43
362,0,0,13,43,13,18,43
363,0,0,57,40,13,18,43
364,0,0,0,15,24,18,43
365,0,0,0,15,60,18,43
366,0,0,0,53,0,0,43
