Day_Number,Bakery,Beverages,Dairy,Fruits & Vegetables,Grains & Pulses,Oils & Fats,Seafood
86,2.8,9.2,2.1,3.4,1.6,6.7,18.0
87,2.8,7.6,1.7,4.0,1.6,5.5,7.7
88,2.5,8.4,1.9,2.5,1.3,5.9,9.3
89,2.8,8.0,1.9,10.0,1.6,5.9,8.0
90,2.5,8.7,6.0,3.0,1.4,5.3,9.9
91,2.5,7.1,0.9,4.8,1.6,6.3,9.8
92,4.2,7.9,0.9,6.2,1.4,6.2,12.0
93,4.5,8.6,0.8,1.8,1.4,6.0,10.0
94,4.3,8.0,9.0,3.5,1.5,4.4,9.0
95,4.5,20.0,4.0,3.9,2.2,3.4,15.0
96,4.0,15.4,4.0,3.7,2.3,3.6,9.6
97,4.3,14.8,6.5,1.9,2.0,3.8,10.8
98,5.5,10.7,6.9,2.2,2.2,3.4,10.0
99,3.9,14.3,7.4,2.0,2.0,3.3,9.6
100,4.5,16.1,2.5,2.2,1.8,4.0,8.8
101,4.3,13.3,2.5,2.5,1.6,4.0,10.0
102,5.0,14.4,2.2,4.0,1.5,9.0,9.9
103,3.3,14.6,1.9,4.4,6.2,8.3,10.4
104,3.2,15.6,2.3,4.4,1.5,8.9,8.5
105,3.2,14.1,2.2,3.6,1.3,11.1,8.2
106,3.0,12.9,2.0,1.0,1.7,10.7,9.0
107,3.5,12.8,4.3,4.7,1.6,11.6,9.5
108,3.7,16.7,3.7,2.8,1.5,10.0,9.9
109,3.3,13.4,4.3,6.2,1.5,2.3,11.5
110,3.7,16.1,3.8,2.5,2.3,4.9,8.2
111,3.5,15.1,4.2,2.5,2.9,5.4,6.3
112,4.5,17.1,4.1,4.0,2.3,6.8,10.1
113,6.0,17.9,3.5,8.0,3.0,5.5,9.0
114,3.7,15.0,4.0,3.1,2.6,3.2,9.4
115,4.3,24.7,5.5,2.8,2.8,3.9,9.0
116,4.1,25.7,5.4,3.0,2.6,3.5,6.7
117,4.0,18.5,9.0,2.8,2.5,4.0,8.0
118,4.9,24.8,8.3,3.4,3.0,7.1,7.0
119,5.2,25.5,6.6,3.5,2.7,6.7,7.5
120,4.9,23.3,7.5,5.4,2.3,1.8,20.0
121,5.5,25.0,5.9,5.2,2.2,10.2,9.8
122,4.6,17.1,6.6,4.5,2.0,10.4,10.6
123,5.3,16.2,7.0,4.1,1.5,9.3,9.9
124,5.0,25.8,2.8,3.5,1.5,10.2,10.0
126,3.3,20.7,2.2,4.1,1.5,10.0,16.9
127,4.9,25.2,2.8,4.0,3.7,5.0,17.6
128,4.7,20.1,2.4,3.5,3.8,10.0,22.4
129,4.5,18.9,2.6,4.3,4.4,5.2,15.0
130,3.2,19.8,2.7,4.0,4.2,5.2,18.4
131,2.6,20.3,2.4,2.4,4.5,5.7,18.0
132,3.0,18.9,2.5,3.2,2.5,4.5,9.4
133,4.1,20.0,12.6,3.3,2.6,5.0,9.0
134,3.5,14.2,11.0,4.0,2.6,2.0,7.6
135,5.1,15.0,13.6,3.7,6.0,1.8,7.9
136,4.8,32.9,11.0,5.5,4.4,1.9,6.8
137,2.8,28.4,11.6,5.7,4.8,2.2,5.2
138,2.5,30.5,13.3,4.0,4.5,2.2,6.5
139,5.0,26.6,10.9,4.8,4.5,1.9,7.0
140,5.0,31.0,11.8,5.9,2.4,2.2,8.2
141,5.0,29.4,12.0,6.5,2.5,2.0,7.5
142,4.7,30.3,1.0,6.0,1.5,2.2,5.5
143,5.0,26.4,0.9,5.0,1.2,1.8,5.1
144,5.9,33.5,0.8,2.0,1.5,1.9,7.0
145,6.6,31.7,0.8,1.8,8.6,1.8,6.1
146,6.0,32.7,0.9,3.7,9.5,2.0,6.1
147,4.0,29.3,6.0,4.0,1.4,2.0,6.0
148,5.5,30.0,1.1,4.8,1.5,1.9,9.9
149,5.3,14.2,1.1,5.5,1.5,1.7,9.0
150,5.9,15.5,1.0,2.0,8.1,2.1,7.6
151,5.8,19.2,1.0,2.6,1.7,2.1,6.4
152,5.5,24.4,1.1,2.6,10.6,2.0,6.9
153,5.7,21.7,1.0,4.0,8.0,4.4,6.8
154,5.5,20.0,3.5,2.3,8.2,4.2,7.1
155,3.4,10.3,4.0,3.7,9.5,4.1,7.2
156,4.0,10.4,2.5,2.9,9.7,4.2,8.4
157,4.6,9.4,2.3,5.5,9.5,4.0,5.7
158,5.0,11.1,2.5,4.5,6.6,5.0,7.3
159,4.9,8.0,9.6,2.8,9.6,1.8,7.2
160,4.7,10.0,8.1,5.0,8.8,1.8,7.4
161,2.7,8.9,7.5,4.5,8.9,6.1,6.8
163,2.2,7.3,5.2,5.0,2.6,7.2,6.8
164,2.7,8.7,7.0,4.2,2.9,6.8,6.9
165,2.1,9.1,0.2,4.0,2.6,7.4,7.3
166,2.0,7.4,0.2,15.3,2.9,6.6,7.0
167,2.6,8.8,0.2,3.7,1.6,6.6,16.6
168,2.8,8.0,0.2,2.4,1.7,6.9,12.1
169,2.5,7.2,0.2,3.5,1.5,6.5,11.3
170,2.0,8.4,0.2,3.4,4.2,5.6,11.5
171,2.2,9.3,0.2,3.9,5.0,6.0,11.4
172,2.4,8.8,0.2,6.0,4.1,4.0,12.0
173,2.2,8.0,2.7,5.0,4.8,3.8,12.1
174,2.7,7.9,12.1,3.8,4.5,4.0,11.8
175,2.8,8.9,11.3,4.9,2.3,1.8,12.0
176,2.9,8.0,12.0,4.5,5.7,6.4,8.1
177,2.5,6.5,3.3,3.4,1.5,6.4,10.9
178,2.3,9.1,3.0,3.6,1.5,6.3,11.5
179,2.9,7.9,2.5,3.6,2.2,7.4,12.5
180,2.5,8.4,8.4,3.5,2.6,6.5,11.5
181,3.5,8.0,7.3,3.5,2.5,4.2,6.0
182,4.0,8.5,7.9,3.5,10.0,4.9,4.9
183,4.0,15.3,7.9,4.2,6.0,3.9,6.0
184,4.3,14.6,8.1,3.8,9.5,4.8,6.6
185,4.3,17.7,2.1,2.1,4.5,4.2,8.2
186,4.1,13.5,1.9,10.0,2.0,5.0,7.8
187,4.6,12.9,2.4,3.9,3.7,4.0,7.5
188,3.5,15.7,2.4,4.2,4.3,5.8,9.8
189,3.7,13.0,2.0,5.3,2.3,6.5,10.3
190,4.0,12.9,2.5,3.8,2.6,7.1,10.7
191,2.3,10.6,2.2,6.2,2.6,6.5,10.0
192,2.7,17.4,2.4,6.0,2.7,2.1,6.7
193,2.1,13.5,2.1,35.7,2.4,2.8,6.8
194,2.4,15.0,2.3,2.3,2.5,2.3,6.0
195,2.8,19.9,2.2,2.5,4.3,2.8,22.6
196,2.7,20.6,2.3,2.0,2.7,2.3,20.1
197,3.1,20.0,2.0,5.2,2.7,2.5,19.1
198,2.9,8.3,7.6,6.0,2.9,2.2,17.8
199,2.6,9.7,8.0,5.8,2.4,2.3,19.5
200,2.4,10.3,9.2,3.0,2.7,2.3,18.0
201,2.5,8.9,7.9,5.0,2.7,2.4,14.0
202,5.1,8.8,7.7,2.9,2.9,2.5,15.2
204,4.6,7.8,2.2,3.0,2.6,4.3,15.0
205,5.2,13.8,2.6,1.0,2.3,3.7,15.0
206,5.4,12.1,2.2,98.4,2.0,3.6,8.5
207,4.5,11.4,3.2,3.0,2.4,3.7,6.9
208,5.2,12.7,2.6,5.6,4.2,3.6,7.0
210,4.6,10.1,2.5,5.5,4.5,4.2,7.0
211,5.4,12.0,1.8,4.8,2.5,4.1,16.9
212,5.6,11.0,1.7,5.2,1.5,4.0,15.4
213,5.8,11.1,7.6,4.0,1.5,9.5,18.0
214,5.4,12.9,8.0,6.0,1.5,10.9,9.2
215,4.1,12.7,7.1,0.9,1.7,10.0,9.0
216,4.9,11.6,8.7,1.0,1.7,8.4,12.0
218,4.6,11.5,3.5,1.0,1.5,9.3,9.0
219,5.8,14.7,3.8,4.1,2.3,9.2,8.1
220,4.7,10.2,3.9,3.0,2.7,9.0,9.9
221,4.8,10.9,7.0,2.0,5.8,9.4,9.8
222,5.7,12.8,2.4,0.9,6.1,10.4,9.2
223,5.2,11.5,8.3,3.2,5.0,10.0,8.6
224,4.3,12.0,8.3,2.7,2.0,2.3,9.3
225,5.0,8.9,7.1,3.4,3.3,2.3,10.8
226,4.2,7.2,7.2,3.3,2.7,2.1,9.0
227,4.5,7.5,9.1,3.5,3.0,2.1,7.3
228,3.6,8.7,7.7,4.6,2.2,2.3,10.2
229,4.0,6.5,2.0,3.6,4.7,2.2,11.5
230,5.0,8.1,2.3,2.7,2.4,2.3,9.3
231,3.0,6.6,2.0,3.1,2.8,5.2,8.7
232,3.0,7.3,2.0,4.9,2.6,5.8,9.0
233,3.0,8.0,2.6,5.0,2.5,6.5,9.5
234,2.6,21.2,3.0,2.8,7.7,6.9,10.6
235,2.5,19.0,9.2,2.7,6.0,5.0,12.0
236,2.7,20.0,7.7,5.6,6.6,6.0,11.1
237,2.9,8.0,6.8,5.0,6.6,2.1,12.5
238,2.5,10.5,7.1,1.9,2.0,2.1,10.1
239,4.5,22.7,8.2,1.6,2.8,2.3,12.0
240,5.0,23.9,7.1,2.9,2.5,1.8,11.4
241,5.0,26.2,7.7,3.0,1.5,2.3,10.0
242,4.5,18.9,12.3,5.4,2.2,5.5,6.0
243,4.0,25.0,11.7,5.1,2.9,6.0,7.5
244,4.3,27.0,12.0,2.3,2.5,6.5,12.7
245,4.3,25.0,2.0,2.3,2.2,7.4,11.1
246,4.8,16.9,1.7,2.2,2.0,6.1,11.6
247,4.0,19.1,2.0,16.5,4.8,6.1,18.2
248,4.5,19.3,2.5,6.5,5.3,6.5,18.7
249,4.3,18.4,1.4,2.2,6.4,1.8,20.0
250,4.1,22.6,1.5,2.5,5.2,1.8,17.8
251,4.2,20.0,1.1,1.3,6.0,4.7,18.2
253,4.5,28.0,1.3,1.4,6.6,5.4,14.9
254,5.0,37.1,1.2,5.1,6.3,4.8,19.5
255,5.6,30.0,1.3,5.5,1.7,5.0,18.0
256,4.9,17.9,1.0,4.0,1.7,2.4,12.3
257,5.0,23.6,4.5,3.9,10.0,2.5,14.1
258,3.8,20.1,4.0,3.5,1.2,2.5,11.4
259,4.3,19.6,7.0,2.3,1.4,2.2,13.7
260,4.0,18.5,4.8,2.5,2.0,2.5,12.0
261,4.6,20.3,5.1,3.4,1.6,2.4,12.9
263,5.0,20.5,1.6,3.3,1.3,2.1,10.3
264,3.0,22.9,1.7,3.0,1.6,2.6,13.0
265,4.3,21.0,2.1,7.9,1.9,2.3,13.1
266,4.1,22.2,2.4,8.9,1.6,2.4,13.3
267,3.7,21.0,3.2,8.1,3.7,2.5,12.4
268,3.9,22.3,3.1,4.9,3.0,2.5,8.7
269,3.8,17.1,2.7,3.0,3.1,2.5,8.5
271,3.7,16.8,2.5,4.0,3.4,2.6,9.0
272,4.1,20.0,2.4,4.4,3.1,2.4,16.7
273,4.0,9.2,8.0,4.0,3.5,2.5,15.1
274,3.5,7.7,6.4,4.3,6.7,3.0,15.7
275,4.4,8.0,5.7,2.0,7.2,3.0,13.7
276,3.9,12.5,5.8,4.1,4.5,3.3,14.6
277,4.0,12.8,6.0,4.4,6.3,3.6,13.3
278,2.9,15.0,6.1,3.8,6.3,3.5,17.0
279,3.1,9.1,6.4,2.0,6.2,4.4,15.4
280,3.7,11.1,6.2,2.1,1.6,3.9,15.2
281,3.5,11.1,9.2,2.0,2.1,4.4,16.9
282,3.4,8.3,9.5,5.0,1.7,4.0,12.8
283,3.4,9.4,9.0,4.2,1.7,2.6,13.8
284,3.6,8.2,3.0,4.0,3.0,2.7,15.4
285,3.7,10.0,0.9,2.5,2.6,2.7,14.3
286,3.9,5.0,0.7,2.7,3.0,2.2,16.4
287,3.5,25.0,0.7,5.9,3.4,2.5,16.3
288,6.4,25.0,0.8,5.5,3.4,2.7,16.1
289,6.2,3.9,5.4,2.7,6.7,2.5,18.2
290,6.0,5.0,4.8,3.0,6.0,2.1,13.8
291,2.9,25.0,6.2,3.0,1.6,2.5,14.2
292,3.2,5.3,6.0,2.6,1.7,6.5,15.0
293,3.1,4.1,0.9,3.0,1.8,2.7,14.4
294,2.4,3.9,1.0,1.2,1.6,2.6,13.3
295,2.5,4.8,5.0,2.5,1.7,2.4,16.1
296,2.5,5.2,2.5,2.0,1.6,2.3,16.5
297,4.3,4.9,2.5,4.9,1.5,3.1,14.9
298,4.4,5.7,5.8,5.0,1.6,2.4,15.0
299,4.5,4.9,6.0,4.0,1.4,2.3,9.5
301,4.0,4.4,12.0,6.0,1.6,2.6,18.0
302,4.8,5.5,1.0,2.5,1.1,2.5,16.7
303,3.9,5.1,1.0,4.2,1.5,6.8,20.3
304,3.6,5.0,4.2,4.1,1.5,5.8,18.0
305,3.9,21.8,4.2,8.0,1.4,5.5,19.1
306,3.4,25.3,3.4,2.2,1.5,5.9,18.0
307,4.0,20.0,4.0,1.6,2.4,6.5,6.2
308,4.8,25.5,0.2,3.1,2.4,5.9,5.0
309,4.5,14.9,0.2,3.2,2.0,6.2,5.7
310,3.8,12.5,5.1,3.0,2.0,6.8,5.9
311,4.5,22.5,5.2,3.2,2.0,6.5,6.0
313,3.9,20.4,5.0,4.1,5.7,6.5,15.2
314,3.7,17.0,1.6,4.8,6.7,5.5,9.3
315,4.0,20.0,5.7,4.5,6.0,6.6,11.4
316,4.9,4.5,2.5,2.0,6.3,6.4,8.7
317,4.3,5.0,4.2,4.9,1.8,7.2,8.0
318,5.0,25.0,5.0,10.0,1.6,7.6,9.2
319,3.5,10.4,5.6,25.5,1.5,6.3,9.0
320,3.8,12.0,6.0,2.3,4.7,6.0,7.8
321,3.5,9.0,2.4,10.0,1.5,6.3,9.8
322,3.9,8.2,2.4,5.8,1.7,8.0,8.8
323,3.1,9.0,8.9,2.0,1.3,5.9,7.3
324,4.2,8.8,8.5,2.5,1.6,6.5,8.5
325,4.0,8.2,9.4,5.0,1.5,2.3,9.0
326,4.0,7.2,8.3,2.0,2.8,2.4,7.3
327,4.1,8.5,7.5,1.8,3.6,2.7,7.8
328,3.9,8.1,8.2,7.0,2.7,2.1,6.5
329,4.1,7.8,2.0,1.9,3.1,2.8,6.2
330,4.3,7.5,8.0,2.2,3.2,2.7,7.0
331,3.8,8.1,3.0,3.5,3.1,2.5,6.6
332,4.9,8.7,1.7,6.0,3.0,2.5,7.5
333,3.3,9.3,12.8,2.7,4.5,2.8,4.4
334,4.0,8.0,12.0,2.1,9.5,2.3,4.9
336,3.9,16.0,12.7,2.0,3.8,2.5,6.7
337,3.7,15.0,11.8,1.8,4.5,6.8,6.4
339,4.0,31.0,7.6,2.5,4.4,6.5,15.4
340,5.6,14.2,6.4,3.5,4.2,4.6,12.6
341,6.4,15.9,7.0,4.4,4.2,4.0,13.8
342,5.8,13.5,6.0,5.0,3.9,1.9,13.5
343,5.8,14.9,7.4,2.3,4.7,2.0,13.4
345,6.0,15.0,2.8,2.4,1.9,2.0,8.2
346,4.7,0.0,0.2,3.0,2.6,2.1,7.9
347,6.0,0.0,0.2,5.1,2.5,2.1,8.4
348,6.0,0.0,0.2,6.0,4.4,2.0,8.8
349,3.0,0.0,0.2,3.1,4.7,1.8,9.5
350,2.8,0.0,9.0,4.4,2.7,2.0,10.4
351,3.9,0.0,0.8,4.6,3.0,2.2,10.8
352,3.4,0.0,6.1,6.0,2.6,1.9,7.7
353,3.2,0.0,1.6,5.6,3.0,2.0,12.4
354,3.4,0.0,1.7,5.5,3.4,2.5,9.5
355,3.9,0.0,7.0,2.0,2.9,1.9,9.3
356,3.0,0.0,2.3,1.5,1.5,2.1,9.6
357,3.1,0.0,2.4,1.9,1.8,1.8,22.1
358,3.5,0.0,4.3,2.2,1.5,2.1,14.0
359,3.6,0.0,4.0,2.0,3.1,2.1,20.0
360,3.5,0.0,3.9,2.8,2.8,2.0,9.7
361,0.0,0.0,4.0,2.5,2.6,1.9,10.0
362,0.0,0.0,3.7,3.3,5.4,2.0,13.4
363,0.0,0.0,4.0,4.0,4.7,2.1,12.8
364,0.0,0.0,0.0,5.1,4.7,2.1,11.8
365,0.0,0.0,0.0,5.1,2.7,2.0,12.6
366,0.0,0.0,0.0,5.0,0.0,0.0,12.2
