Day_Number,Bakery,Beverages,Dairy,Fruits & Vegetables,Grains & Pulses,Oils & Fats,Seafood
79,25,2,269,48,4,23,4
81,24,2,10,70,3,9,4
82,28,2,10,57,3,9,4
84,6,2,9,112,3,9,4
85,5,2,9,76,13,9,3
86,5,2,9,47,13,8,3
87,5,2,9,46,13,8,14
88,5,2,9,31,13,8,14
89,5,2,9,48,13,8,13
90,38,2,55,37,13,8,20
91,38,2,17,85,12,8,20
92,9,1,16,92,12,8,20
93,9,1,16,89,12,8,20
94,9,1,79,58,12,7,65
95,8,46,23,57,10,7,61
96,8,5,21,57,10,7,32
97,8,5,109,18,9,7,32
98,8,5,108,18,49,7,31
99,8,5,106,18,49,7,66
100,8,5,72,28,16,7,65
101,33,5,26,28,16,56,13
102,32,5,14,92,16,4,13
103,5,5,14,31,49,3,13
104,5,5,14,31,10,3,13
105,5,5,13,122,10,3,13
106,5,5,13,25,10,3,13
107,5,5,26,112,10,3,6
108,5,5,25,154,9,3,6
109,5,5,25,58,9,83,6
110,5,5,25,87,10,26,6
111,5,5,25,78,10,26,6
112,10,5,25,93,9,26,6
113,10,5,50,27,9,25,6
114,19,4,49,12,9,25,5
115,18,13,96,12,9,25,5
116,18,12,95,12,9,24,24
117,18,12,100,12,9,24,24
118,11,12,39,32,9,97,24
119,11,12,38,31,9,97,80
120,11,12,38,106,8,33,92
121,11,12,22,106,8,5,7
122,11,40,21,86,8,5,7
123,11,39,21,43,13,5,7
124,10,18,10,43,13,5,6
126,150,18,10,43,13,4,6
127,18,17,10,42,11,106,6
128,18,7,10,21,11,22,6
129,18,7,10,21,10,11,6
130,33,7,9,20,10,11,6
131,33,6,9,98,38,11,6
132,32,6,9,76,43,11,25
133,34,6,8,76,54,11,24
134,33,45,8,25,53,23,5
135,66,44,8,24,37,23,5
136,65,6,8,22,15,6,5
137,49,6,8,111,14,6,4
138,48,6,8,67,14,6,4
139,10,6,7,106,69,6,4
140,10,5,7,154,22,5,4
141,10,5,7,23,22,5,4
142,10,5,27,22,12,5,12
143,10,5,27,41,11,5,12
144,16,5,27,22,11,5,12
145,16,5,27,22,42,5,11
146,15,5,26,64,41,5,11
147,8,5,117,64,11,5,11
148,8,5,5,119,11,5,50
149,8,17,5,42,10,5,49
150,8,17,5,22,102,5,16
151,8,25,5,42,77,5,16
152,8,25,5,41,6,5,16
153,8,25,5,86,6,16,16
154,7,25,30,153,6,16,6
155,14,6,29,237,6,16,6
156,14,6,51,122,19,16,6
157,35,5,33,93,19,15,5
158,35,5,33,23,31,91,5
159,35,5,70,57,31,39,5
160,35,5,70,28,30,39,5
161,3,14,18,28,30,10,5
163,3,13,18,28,34,10,5
164,3,13,17,40,33,10,5
165,3,13,12,40,33,10,5
166,3,13,12,77,33,10,5
167,3,13,12,235,22,9,82
168,3,13,12,25,22,9,27
169,3,12,12,25,22,9,27
170,3,12,12,65,32,21,27
171,3,12,11,65,32,21,11
172,3,12,11,80,31,16,11
173,3,12,128,38,16,15,10
174,3,11,34,21,16,15,10
175,3,11,33,20,97,62,10
176,3,11,33,20,132,10,102
177,3,16,23,174,28,10,24
178,3,16,22,11,27,10,24
179,3,16,33,11,23,10,24
180,2,15,11,10,22,9,24
181,7,15,11,10,22,14,19
182,7,81,11,46,75,14,19
183,6,3,11,46,77,14,18
184,6,3,10,45,43,13,13
185,6,3,119,161,60,13,13
186,6,3,8,76,95,13,13
187,6,3,7,69,44,13,13
188,6,3,7,68,43,22,9
189,6,3,7,94,8,22,9
190,6,3,7,61,8,21,8
191,9,3,7,24,8,21,8
192,8,2,7,23,8,8,30
193,8,2,7,129,8,8,30
194,8,2,7,29,8,8,30
195,8,8,7,29,69,8,5
196,8,8,7,36,7,8,4
197,8,7,24,30,7,8,4
198,8,30,39,29,6,8,4
199,8,30,39,115,6,7,4
200,8,30,28,90,6,7,4
201,8,38,81,98,6,7,30
202,2,37,80,41,6,7,30
204,2,37,18,40,6,6,29
205,2,2,18,35,10,6,96
206,2,2,18,35,10,6,21
207,2,2,17,51,10,6,21
208,2,2,17,31,110,6,20
210,2,2,17,31,50,5,85
211,2,2,28,30,82,5,26
212,2,2,28,30,76,5,25
213,2,2,32,47,8,9,25
214,2,2,32,94,8,9,33
215,2,2,31,19,8,9,33
216,2,1,31,18,8,10,62
218,2,1,53,18,7,10,4
219,1,1,52,60,17,9,4
220,1,1,52,57,17,9,4
221,1,1,92,53,45,9,4
222,1,1,48,98,45,9,4
223,1,1,20,29,163,9,4
224,1,1,20,29,20,41,4
225,1,6,20,29,39,41,4
226,19,6,19,28,39,7,3
227,19,6,19,181,38,7,3
228,19,6,19,77,113,7,3
229,18,5,12,76,36,6,3
230,77,5,12,89,25,6,3
231,28,5,12,89,24,8,3
232,28,5,12,21,24,8,3
233,27,5,13,20,24,8,13
234,13,23,12,95,35,8,13
235,12,22,24,94,35,8,13
236,12,22,24,29,35,7,13
237,12,60,23,29,35,15,13
238,12,34,23,98,100,15,12
239,3,11,23,97,23,14,12
240,3,11,23,41,22,14,40
241,3,11,23,41,80,14,40
242,3,11,13,54,50,19,30
243,2,10,13,53,50,19,48
244,2,10,13,58,50,11,22
245,2,10,11,58,102,11,22
246,2,15,11,58,58,11,22
247,2,14,15,104,60,11,12
248,2,14,14,129,59,10,12
249,2,14,51,67,13,63,12
250,2,14,51,66,12,71,12
251,2,14,51,22,12,15,11
253,2,9,51,22,12,15,11
254,45,8,51,61,12,15,11
255,7,8,50,61,44,15,11
256,7,9,31,13,43,31,13
257,7,9,30,13,62,30,13
258,29,9,30,13,20,30,13
259,28,9,32,14,20,4,13
260,28,9,45,13,20,4,12
261,35,9,45,24,20,4,12
263,35,8,31,23,19,4,12
264,5,42,31,23,19,4,12
265,5,41,21,79,19,4,12
266,5,10,21,79,19,3,12
267,5,10,43,79,21,3,12
268,5,19,42,90,21,3,10
269,5,19,7,100,21,3,10
271,4,18,7,22,21,3,9
272,4,18,7,21,21,3,2
273,4,10,71,21,21,3,2
274,4,9,11,21,40,43,2
275,4,9,11,76,39,43,2
276,4,32,11,214,60,43,2
277,4,32,10,82,13,7,2
278,10,32,55,61,13,7,2
279,10,6,55,81,12,7,2
280,10,6,54,49,9,7,2
281,10,6,21,48,9,7,2
282,10,6,21,86,8,6,2
283,10,5,21,18,8,13,2
284,10,5,56,18,49,13,2
285,10,5,25,81,48,12,2
286,9,45,25,80,48,12,2
287,9,47,25,17,75,12,2
288,23,46,25,17,74,12,1
289,22,26,10,32,13,12,1
290,22,26,10,32,13,13,1
291,26,35,9,32,13,12,1
292,26,6,9,87,13,53,1
293,25,6,48,50,13,4,1
294,14,6,48,30,13,4,1
295,14,6,94,84,12,4,1
296,14,6,31,26,12,4,1
297,11,6,30,48,12,4,1
298,11,6,47,48,12,3,1
299,10,6,47,48,14,3,113
301,98,6,59,78,14,3,27
302,4,6,12,79,14,3,14
303,4,6,11,82,14,2,13
304,4,6,17,82,14,2,13
305,4,22,16,42,14,2,18
306,4,21,16,130,13,2,17
307,4,36,16,30,95,2,12
308,4,29,50,29,26,2,12
309,4,90,50,29,26,2,12
310,3,95,23,28,37,2,12
311,3,15,23,111,36,2,12
313,3,15,22,15,29,2,117
314,3,15,160,15,28,2,6
315,3,14,110,14,28,2,6
316,33,45,78,51,70,2,6
317,32,45,65,111,62,2,6
318,32,73,24,55,42,2,5
319,48,19,23,186,41,2,5
320,47,19,23,74,52,2,10
321,47,7,39,37,7,2,10
322,3,7,39,20,7,1,10
323,3,7,18,25,7,1,10
324,3,7,18,52,7,1,10
325,3,7,18,26,7,79,10
326,3,7,17,62,7,14,5
327,3,7,17,33,7,14,5
328,3,7,17,113,7,14,5
329,3,7,52,57,7,14,4
330,3,7,59,57,7,14,4
331,3,7,70,42,6,14,4
332,2,7,50,44,6,14,4
333,2,7,20,114,39,8,22
334,2,6,20,25,60,8,22
336,2,13,19,25,8,7,22
337,2,12,19,24,8,26,21
339,2,70,152,89,8,25,21
340,8,14,11,87,8,26,21
341,8,14,10,25,17,25,21
342,7,13,54,24,17,4,21
343,7,13,176,55,17,3,21
345,7,13,41,54,13,3,24
346,7,0,9,88,12,3,24
347,7,0,8,35,12,3,24
348,72,0,8,35,38,3,24
349,12,0,8,79,37,3,24
350,11,0,63,44,11,3,24
351,11,0,30,44,10,3,24
352,11,0,106,82,10,3,24
353,11,0,42,41,10,3,24
354,5,0,41,40,10,3,24
355,5,0,73,30,10,3,23
356,4,0,18,91,11,3,23
357,4,0,18,11,10,3,13
358,4,0,11,11,10,3,13
359,4,0,11,10,17,3,13
360,4,0,11,11,17,3,27
361,0,0,10,11,17,16,27
362,0,0,12,114,12,16,39
363,0,0,11,70,12,16,39
364,0,0,0,14,11,16,39
365,0,0,0,14,51,15,39
366,0,0,0,13,0,0,39
